geo,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT,Austria,,,,,,76.8,81.6,87.57,92.1,95.33,100,108.53,114.26,119.64,126.6,136.31,153.26
BE,Belgium,72.49,79.56,85.76,89.54,89.12,91.92,95.61,97.75,98.9,98.35,100,102.64,106.37,109.42,113.78,118.6,127.06
BG,Bulgaria,80.09,91.86,118.42,147.97,117.79,105.81,99.98,98.07,95.92,97.29,100,107.02,116.3,123.96,131.42,137.41,149.33
CY,Cyprus,97.06,108.57,121.32,128.17,119.76,112.9,111.09,107.7,103.29,101.47,100,100.27,102.52,104.32,108.2,107.98,104.33
CZ,Czech,,,,100.8,96.9,95.2,95.3,93.9,93.9,96.2,100,107.2,119.7,130,141.9,153.9,184.2
DE,Germany,83.3,83,81.2,82.3,83,83.9,86.8,89.8,92.6,95.5,100,107.5,114.1,121.7,128.7,138.7,154.7
EE,Estonia,59.01,88.22,106.54,96.29,60.47,63.9,69.32,74.37,82.29,93.58,100,104.75,110.51,117.07,125.27,132.79,152.78
ES,Spain,,135.5,148.79,146.66,136.97,134.55,124.27,105.9,96.24,96.54,100,104.62,111.1,118.58,124.71,127.5,132.19
FI,Finland,76.25,81.56,86.37,87.06,88.31,93.88,96.87,99.21,100.35,100,100,101.29,102.39,103.34,103.77,105.6,110.45
FR,France,84.72,94.51,100.57,101.52,95.32,99.74,105.46,104.88,102.93,101.36,100,101.04,104.24,107.29,110.86,116.62,123.98
HR,Croatia,,,,124.14,117.93,110.47,110.66,108.93,104.63,102.98,100,100.89,104.75,111.14,121.1,130.38,139.91
HU,Hungary,,,98.91,101.26,95.95,93.66,90.45,87.1,84.87,88.43,100,113.38,127.24,145.5,170.17,178.58,208.04
IE,Ireland,131.89,151.5,162.81,151.51,122.49,105.96,87.86,76.04,76.99,89.72,100,107.46,119.14,131.33,134.41,134.82,145.98
IS,Iceland,60.6,70.79,77.44,82.26,74.28,72.02,75.36,80.57,85.21,92.39,100,109.77,131.2,142.01,148.3,157.79,177.57
IT,Italy,,,,,,118.1,119.7,116.7,109.1,104,100,100.3,99.2,98.6,98.5,100.4,103
LT,Lithuania,,94.25,119.06,129.76,90.92,84.2,89.77,89.56,90.65,96.47,100,105.4,114.8,123.18,131.61,141.18,163.84
LU,Luxembourg,,,74.42,76.91,76.02,80.14,83.09,86.58,90.89,94.88,100,106.01,111.96,119.86,131.99,151.12,172.15
LV,Latvia,,104.48,142.37,143.94,90.24,80.35,88.73,91.36,97.62,103.48,100,108.49,118.01,129.3,140.88,145.77,161.65
MT,Malta,58.43,70.04,84.75,94.14,90.07,91.04,89.8,92.54,92.16,94.51,100,105.45,111.03,117.45,124.65,128.86,135.44
NL,Netherlands,106.2,110.73,116.1,118.64,113.35,111.4,109.19,101.86,95.75,96.53,100,105.02,112.93,123.61,132.62,142.75,164.21
NO,Norway,54.24,61.66,69.43,68.69,69.99,75.77,81.95,87.48,91.24,93.74,100,107.88,113.75,115.53,120.18,126.11,137.66
PL,Poland,,,,,,105.61,105.7,102.01,97.54,98.5,100,101.86,105.78,112.74,122.52,135.36,147.77
PT,Portugal,,,,107.53,106.54,107.36,102.09,94.87,93.09,97.04,100,107.12,117.02,129.03,141.88,154.33,168.84
RO,Romania,,,,,129.28,119.54,104.83,99.51,99.26,97.22,100,105.95,112.36,118.62,122.69,128.44,134.09
SE,Sweden,52.04,58.46,65.74,66.47,68.57,73.97,75.87,76.83,80.79,88.4,100,108.24,115.43,114.35,117.19,122.11,134.46
SI,Slovenia,,,120.85,129.31,117.06,117.21,120.39,112.09,106.21,99.2,100,103.25,111.79,121.55,129.69,135.66,151.32
SK,Slovakia,,75.99,98,115.55,100.82,96.78,95.33,92.75,93.59,94.91,100,106.7,112.99,121.32,132.39,145.06,154.33
TR,Turkey,,,,,,58.11,62.14,68.03,75.79,86.11,100,113.27,124.83,133.4,140.64,175.5,245.4
UK,United Kingdom ,78.96,85.1,93.54,89.41,81.44,86.15,84.88,85.2,87.39,94.4,100,106.99,111.86,115.53,116.67,,
